Write_Fraction,Thread_Count,Throughput
0.02,1,8.020798366666668
0.02,2,13.581829533333334
0.02,3,18.063814966666666
0.02,4,23.366807933333334
0.02,5,28.05391663333333
0.02,6,30.72879843333333
0.02,7,34.58681193333333
0.02,8,38.3750694
0.2,1,7.4637309
0.2,2,10.0304345
0.2,3,11.229290566666668
0.2,4,11.651258466666667
0.2,5,11.2453651
0.2,6,9.1703107
0.2,7,7.814773833333333
0.2,8,7.0405768
0.4,1,7.2736094
0.4,2,8.314341433333333
0.4,3,7.5081510666666675
0.4,4,6.293871566666667
0.4,5,5.099896066666666
0.4,6,4.026363066666667
0.4,7,3.536792
0.4,8,3.2443221666666666
