Write_Ratio,Thread_Count,Throughput
0.02,1,6.0543526666666665
0.02,2,10.713717666666668
0.02,3,14.664445066666666
0.02,4,20.0156141
0.02,5,24.0358741
0.02,6,29.590363
0.02,7,33.28904726666667
0.02,8,38.3035788
0.2,1,6.053240333333334
0.2,2,10.807600433333333
0.2,3,14.572895333333335
0.2,4,19.785064533333333
0.2,5,24.270123833333333
0.2,6,29.56941616666667
0.2,7,34.303228366666666
0.2,8,37.72965333333333
0.4,1,6.044887766666666
0.4,2,10.780366766666667
0.4,3,14.562872233333334
0.4,4,19.648942166666664
0.4,5,24.120492233333334
0.4,6,29.143756633333332
0.4,7,33.6902419
0.4,8,38.2584388
